Charge Time,Cleaning Time Infinity,Cleaning Time for 1-Iteration,Total Cleaning Time (TCT)
135,30,150,30
135,45,30,180
135,45,45,45
135,45,60,45
135,45,75,45
135,45,90,45
135,45,105,45
135,45,120,45
135,45,135,45
135,45,150,45
135,60,30,195
135,60,45,195
135,60,60,60
135,60,75,60
135,60,90,60
135,60,105,60
135,60,120,60
135,60,135,60
135,60,150,60
135,75,30,345
135,75,45,210
135,75,60,210
135,75,75,75
135,75,90,75
135,75,105,75
135,75,120,75
135,75,135,75
135,75,150,75
135,90,30,360
135,90,45,225
135,90,60,225
135,90,75,225
135,90,90,90
135,90,105,90
135,90,120,90
135,90,135,90
135,90,150,90
135,105,30,510
135,105,45,375
135,105,60,240
135,105,75,240
135,105,90,240
135,105,105,105
135,105,120,105
135,105,135,105
135,105,150,105
135,120,30,525
135,120,45,390
135,120,60,255
135,120,75,255
135,120,90,255
135,120,105,255
135,120,120,120
135,120,135,120
135,120,150,120
135,135,30,675
135,135,45,405
135,135,60,405
135,135,75,270
135,135,90,270
135,135,105,270
135,135,120,270
135,135,135,135
135,135,150,135
135,150,30,690
135,150,45,555
135,150,60,420
135,150,75,285
135,150,90,285
135,150,105,285
135,150,120,285
135,150,135,285
135,150,150,150
150,30,30,30
150,30,45,30
150,30,60,30
150,30,75,30
150,30,90,30
150,30,105,30
150,30,120,30
150,30,135,30
150,30,150,30
150,45,30,195
150,45,45,45
150,45,60,45
150,45,75,45
150,45,90,45
150,45,105,45
150,45,120,45
150,45,135,45
150,45,150,45
150,60,30,210
150,60,45,210
150,60,60,60
150,60,75,60
150,60,90,60
150,60,105,60
150,60,120,60
150,60,135,60
150,60,150,60
150,75,30,375
150,75,45,225
150,75,60,225
150,75,75,75
150,75,90,75
150,75,105,75
150,75,120,75
150,75,135,75
150,75,150,75
150,90,30,390
150,90,45,240
150,90,60,240
150,90,75,240
150,90,90,90
150,90,105,90
150,90,120,90
150,90,135,90
150,90,150,90
150,105,30,555
